address1,address2,address3,dlr_cd,dlr_nm,full_address,opt1,opt2,org_cd,org_nm,org_type,phone_number
서울,강남구,논현로 340 (역삼동),307695,(주)다온사랑,서울 강남구 논현로 340 (역삼동),강동영업담당,서초지점,P042135,역삼2동_역삼세무서점,일반점,02-508-5585
서울,강남구,테헤란로 111 대건빌딩 1F,370230,강남직영점,서울시 강남구 테헤란로 111 대건빌딩 1F,강동영업담당,서초지점,P276896,역삼동_강남점,일반점,02-593-3019
서울,강동구,천호대로157길 41 (천호동),309638,(주)드림워커스모바일,서울 강동구 천호대로157길 41 (천호동),강동영업담당,동서울지점,P023033,천호동_천호로데오2점,일반점,02-473-6010
서울,강동구,양재대로 1371 1층 8호 (성내동),310155,(주)하이플러스사람들,서울 강동구 양재대로 1371 1층 8호 (성내동),강동영업담당,동서울지점,P173159,성내동_둔촌역3점,일반점,02-423-0076
경기,용인시,수지구 풍덕천로 128 (풍덕천동),311908,(주)프렌즈컴퍼니,경기 용인시 수지구 풍덕천로 128 (풍덕천동),강동영업담당,분당지점,P207350,풍덕천1동_풍덕천사거리점,일반점,031-272-4449
경기,광주시,경안로 3 (경안동),310664,주식회사 퍼펙트샵,경기 광주시 경안로 3 (경안동),강동영업담당,동서울지점,P965500,경안동_이마트점,일반점,010-8028-3098
경기,광주시,"중앙로 88  1층 (역동, 대형빌딩) .",370256,광주역동직영점,"경기 광주시 중앙로 88  1층 (역동, 대형빌딩) .",강동영업담당,동서울지점,P031228,광주역동_역동점,일반점,010-8080-2529
경기,용인시,"기흥구 죽전로 39 117호 (보정동, 에스제이타워)",312823,에스앤유,"경기 용인시 기흥구 죽전로 39 117호 (보정동, 에스제이타워)",강동영업담당,분당지점,P045547,보정동_주민센터점,일반점,070-8279-7010
경기,성남시,분당구 돌마로 51  천사의도시 107호 (금곡동) .,370132,미금직영점,경기 성남시 분당구 돌마로 51  천사의도시 107호 (금곡동) .,강동영업담당,분당지점,P034259,금곡동_천사의도시2점,일반점,070-4369-8699
경기,성남시,"분당구 대왕판교로606번길 39 101 102호 112호 (삼평동, 럭스타워)",371508,판교직영점,"경기 성남시 분당구 대왕판교로606번길 39 101 102호 112호 (삼평동, 럭스타워)",강동영업담당,분당지점,P278310,삼평동_판교역점,일반점,070-4045-7045
경기,성남시,분당구 분당로53번길 12 (서현동),313331,좋은날,경기 성남시 분당구 분당로53번길 12 (서현동),강동영업담당,분당지점,P271814,서현동_서현로데오2점,일반점,070-4383-8001
경기,성남시,"분당구 분당로53번길 15 101호 (서현동, 산호트윈스빌딩)",312286,주식회사 화랑컴퍼니,"경기 성남시 분당구 분당로53번길 15 101호 (서현동, 산호트윈스빌딩)",강동영업담당,분당지점,P286158,서현1동_서현로데오1점,일반점,070-8235-4813
서울,강동구,"올림픽로 769 108호 (암사동, 삼정빌딩)",372475,암사직영점,"서울 강동구 올림픽로 769 108호 (암사동, 삼정빌딩)",강동영업담당,동서울지점,P038496,암사동_암사역1점,일반점,010-8080-5139
서울,강동구,"양재대로 1484-1 1층 (길동, 서원빌딩)",313611,청춘,"서울 강동구 양재대로 1484-1 1층 (길동, 서원빌딩)",강동영업담당,동서울지점,P031479,길동_길동역2점,일반점,010-8000-0475
서울,강동구,"양재대로 1465 104호 (길동, 마루홈타운)",370228,길동역직영점,"서울 강동구 양재대로 1465 104호 (길동, 마루홈타운)",강동영업담당,동서울지점,P276706,길동_길동역1점,일반점,010-8080-2426
서울,송파구,올림픽로 124  (잠실동) .,371355,신천역직영점,서울 송파구 올림픽로 124  (잠실동) .,강동영업담당,서초지점,P013701,잠실본동_신천역1점,일반점,010-8080-3878
