address1,address2,address3,dlr_cd,dlr_nm,full_address,opt1,opt2,org_cd,org_nm,org_type,phone_number
경기,부천시,"상동로 90, 메가플러스 121호",372484,상동사거리직영점,"경기도 부천시 상동로 90, 메가플러스 121호",강남,경인,P046047,상동사거리직영점,직영점,070-5017-5047
경기,부천시,경인로 236-1,371306,부천남부역직영점,경기도 부천시 경인로 236-1,강남,경인,P032556,부천남부역직영점,직영점,010-5017-6996
경기,부천시,지봉로 100,307992,역곡북부역직영점,경기도 부천시 지봉로 100,강남,경인,P273101,역곡북부역직영점_역곡점,직영점,070-5017-5231
경기,부천시,"범안로 117, 현대리치모아빌딩 130호,131호",310639,범박신도시직영점,"경기도 부천시 범안로 117, 현대리치모아빌딩 130호,131호",강남,경인,P222448,범박신도시_C5,직영점,070-5043-7081
경기,부천시,부일로 484,309848,부천북부역직영점,경기도 부천시 부일로 484,강남,경인,P010145,부천북부역직영점_부천북부점,직영점,070-8613-7596
경기,부천시,"길주로 199, 굿모닝프라자 제1층 제110호",311049,부천시청직영점,"경기도 부천시 길주로 199, 굿모닝프라자 제1층 제110호",강남,경인,P286432,부천시청직영점_부천시청점,직영점,070-4009-2893
경기,부천시,오정구 역곡로480 1층,311049,(주)넝쿨정보,경기 부천시 오정구 역곡로480 1층,강남,경인,P032258,넝쿨정보통신_고강점,위탁지원,032-681-0992
경기,부천시,소사로 763,311609,(주)넝쿨정보,경기도 부천시 소사로 763,강남,경인,P258354,넝쿨정보통신_원종사거리점,위탁지원,070-4670-0992
경기,부천시,소사로 750 토수프라자,307978,(주)넝쿨정보,경기도 부천시 소사로 750 토수프라자,강남,경인,P035263,넝쿨정보통신_원종점,위탁지원,070-4870-5656
경기,부천시,부천로 107-2,311609,(주)넝쿨정보,경기도 부천시 부천로 107-2,강남,경인,P956607,넝쿨정보통신_심곡동점,임차지원2,070-4388-0992
경기,부천시,"원미로 97-1, 1층",310257,(주)넝쿨정보,"경기도 부천시 원미로 97-1, 1층",강남,경인,P160817,(주)넝쿨정보_원미시장,일반전매점,070-4686-0996
